Nom du projet	Objectifs du projet	Statut du projet	Date signature de la convention	Référence de la convention	Periode d'Engagement	Date de début	Date de clôture	Pilier	Composante	Secteur principal	Liens vers d'autres secteurs	Bailleurs	Partenaires d'exécution	Ministère de tutelle	Utilisation d'un Fonds fiduciaire multidonateurs	"Si autre, veuillez spécifier"	Nature du financement	Devise utilisée pour le reporting 	Taux de change	Montant du projet en devise	Montant du projet XAF	Montant du projet USD	Décaissements 2017 en devise	Décaissements 2017 XAF	Décaissements 2017 USD	Date(s) Fin de Periode de décaissement en 2017	Prévision de décaissements 2017 en devise	Prévision de décaissements 2017 XAF	Prévision de décaissements 2017 USD	Prévision de décaissements 2018 en devise	Prévision de décaissements 2018 XAF	Prévision de décaissements 2018 USD	Prévision de décaissements 2019 en devise	Prévision de décaissements 2019 XAF	Prévision de décaissements 2019 USD	Prévision de décaissements 2017-2019 USD	Liens vers site internet ou documents du projet	Personne de contact	Email et/ou téléphone de la persone de contact	Atténuer les déséquilibres régionaux	Promouvoir l'égalité des genres	Renforcer la transparence et la redevabilité	Accroître les capacités nationales	Promouvoir l'inclusion des jeunes	Environnement et exploitation durable des ressources	Bangui	Ombella-M'Poko	Lobaye	Nana-Mambéré	Mambéré-Kadéï	Sangha-Mbaéré	Ouham	Ouham-Pendé	Ouaka	Kemo	Nana-Grébizi	Bamingui-Bangoran	Vakaga	Haute-Kotto	Basse-Kotto	Mbomou	Haut-Mbomou	Non attribué	SOUS-LOCALISATION (sous-préfectures)	SOUS-LOCALISATION (communes)	OBSERVATION	Montant total restant à décaisser USD
Projet de réhabilitation de la Centrale hydroélectrique de Boali 2	réparation des équipements électromécaniques et des systèmes de protection des usines hydro-électriques Boali 1 et 2	Actif	7/2/99	CCF 1104	AVANT BRUXELLES	7-Apr	17-Dec	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Electricité	Energie	AFD	"Entreprises, ENERCA, EDF"	Ministère du Plan				EUR	656	4200000	2755019400	4791360	12700	8330654	14488	0	12700	8330654	14488	570081	373948800	650349	0	0	0	664837		Pascal Brouillet	brouilletp@afd.fr	Pas ciblé	Pas ciblé	Pas ciblé	Significatif	Pas ciblé	Significatif	0	4791360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			Equipements pour réhabilitation de centrale BOALI 2 reçus. Attente de leur installation. 	4126523
Projet de développement régional dans le sud-ouest (PDRSO)	Gestion durable des zones forestières du Sud-Ouest	Actif	6/26/15	CCF 1130 et CCF 1151	AVANT BRUXELLES	15-Jun	20-May	Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	Forêts	Gouvernance locale et REDD+	AFD	UGP PDRSO	Ministère de l'Environnement				EUR	656	6500000	4263720500	7415200	1275860	836909298	1455501	0	1600000	1049531200	1825280	2500000	1639892500	2852000	2000000	1311914000	2281600	6958880		Hugo Halimi	halimih@afd.fr	Pas ciblé	Pas ciblé	Significatif	Significatif	Pas ciblé	Significatif	0	0	3707600	0	0	3707600	0	0	0	0	0	0	0	0	0	0	0	0			"Volet 1: Recrutement d'ONG en cours pour activité de développement local dans 10 communes du Sud-Ouest ; Volet 2: Appui à l'AGDRF et au Ministère dans la gestion durable des permis forestiers; Volet 3: Etudes sur impact de la déforestation dans le Sud-Ouest, premières experimentations prévues pour 2018. "	456320
Programme de Reconstruction Economique et Sociale en millieu Urbain (PRESU) Phase 1	Développement urbain et redéploiement de l'action publique dans les 3ème et 5ème arrondissements de Bangui	Actif	30-Mar-15	CCF 1161	AVANT BRUXELLES	15-Mar	20-Jul	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	"Eau et Assainissment, Renforcement des capacités"	AFD	"AGETIP, entreprises locales"	"Ministère de l'Urbanisme, Ministère de l'Equipement"	Fonds Bêkou	Co-financement BDEAC		EUR	656	4 112 150 	2697393578	4691141	285 634 	187363622	325851	0	1200000	787148400	1368960	1500000	983935500	1711200	800000	524765600	912640	3992800		Hugo Halimi	halimih@afd.fr	Pas ciblé	Significatif	Pas ciblé	Principal	Significatif	Pas ciblé	4691141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			"Financement permettant principalement la réalisation des études pour les travaux qui seront menés au cours de la phase 2. La validation des différentes études s'étendra de fin 2017 à mi 2018. Le concours comprend aussi le financement de la réhabilitation de l'avenue Idriss Deby, en co-financement avec la BDEAC"	698341
Programme de Reconstruction Economique et Sociale en millieu Urbain (PRESU) Phase 2	Développement urbain et redéploiement de l'action publique dans les 3ème et 5ème arrondissements de Bangui	Actif	24-Aug-17	CCF 1167	APRES BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	"Eau et Assainissment, Renforcement des capacités"	AFD	"AGETIP, entreprises locales"	"Ministère de l'Urbanisme, Ministère de l'Equipement"	Fonds Bêkou			EUR	656	10 897 196 	7148091997	12431521	0	0	0	0	0	0	0	4000000	2623828000	4563200	4000000	2623828000	4563200	9126400		Hugo Halimi	halimih@afd.fr	Pas ciblé	Significatif	Pas ciblé	Principal	Significatif	Pas ciblé	12431521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			"Démarrage des travaux prévu début 2018. Environ 7M € de réhabilitation d'équipements publics majeurs dans les 3ème et 5ème arrondissements (Lycées, Centres de Santé…) et 2M d'aménagements de proximité dans les quartiers (voirie, drainage, éclairage public...) "	3305121
Financement partiel du projet d'extension de modernisation et de mise aux normes IATA et OACI de l'aéroport international Bangui MPOKO	"L'absence de clôture constituant l'une des principales carence de la plateforme aéroportuaire au niveau de la sureté et de la sécurité, le financement est destiné à la construction de 12 km de clôture en grillage et en béton de l'aéroport"	Actif	2-Oct-14	CCF 1129	AVANT BRUXELLES	17-Mar	18-Aug	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport		AFD	"Entreprises, ASECNA, AGETIP, ONG"	Ministère des Transports		Co-financement BDEAC	 Don 	EUR	656	3000000	1967871000	3422400	848003	556253504	967402	0	500000	327978500	570400	1000000	655957000	1140800	900000	590361300	1026720	2737920		Pascal Brouillet	brouilletp@afd.fr	Pas ciblé	ND - pas évalué	ND - pas évalué		Pas ciblé	Pas ciblé	3422400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			Les ordres de service pour le lancement des travaux ont été donné aux entreprises devant réalisés les travaux ainsi qu'à EGIS AVIA . La 1ère demande de décaissement transmise à la BDEAC par le Ministère du plan en date du 11 février 2017  est en cours de traitement . La pose de la 1ère pierre relative au lancement des travaux est prévue le 30 mars 2017. La gestion des aspects sociaux du projet a été confiée à l'UNOPS. 	684480
Appui au secteur de la microfinance en RCA 	"Assurer la disponibilité des services financiers de base à travers la redynamisation et le renforcement des capacités des principaux acteurs du secteur de la microfinance en RCA (Etablissements de Microfinance, Association professionnelle des EMF, Service de la Microfinance et Comité National de Microfinance). "	Financement Octroyé			APRES BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Assurer les conditions propices au développement du secteur privé et à l’emploi	Développement du secteur privé et emploi		AFD	OSC agissant comme maître d'ouvrage		Fonds Bêkou			EUR	656	2990000	1961311430	3410992	0	0	0	0	0	0	0	1000000	655957000	1140800	1000000	655957000	1140800	2281600		Pascal Brouillet	brouilletp@afd.fr	Significatif	Significatif	Significatif	Significatif	Significatif	Pas ciblé	2728794	0	0	341099	341099	0	0	0	0	0	0	0	0	0	0	0	0	0			Signature de la convention fin 2017 et démararge du projet. 	1129392
Gouvernance Chambres 	"Le renforcement de la gouvernance stratégique d’appui des Chambres consulaires de RCA et la réalisation d’une cartographie détaillée des acteurs économiques de RCA, pour pouvoir mieux soutenir le développement de l’activité économique "	Actif	22-Sep-15	Convention signée entre CPCCAF et AFD	AVANT BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Assurer les conditions propices au développement du secteur privé et à l’emploi	Développement du secteur privé et emploi		AFD	Chambre de commerce et d'industrie; Chambre d'Agriculture					EUR	656	90800	59560896	103585	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Pascal Brouillet	brouilletp@afd.fr	Pas ciblé	Pas ciblé	Significatif	Significatif	Significatif	Pas ciblé	103585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				103585
Rougier Sangha Mbaere	Prêt à la société française Rougier sur 10 ans assorti d’une période de franchise de 3 ans pour la mise en œuvre de l’exploitation d'un permis forestier en RCA ainsi que certains projets de développement complémentaires de Rougier en Afrique Centrale.	Actif	12-May-17		APRES BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Assurer les conditions propices au développement du secteur privé et à l’emploi	Développement du secteur privé et emploi	Forêts	PROPARCO						EUR	656	15000000	9839355000	17112000	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Pascal Brouillet	brouilletp@afd.fr	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Principal	0	0	0	0	0	17112000	0	0	0	0	0	0	0	0	0	0	0	0				17112000
REHAB RENF RESIL SYST_RCA		Actif			AVANT BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	Forêts	Environnement	BAD 						UC	811	0	0	0	295277	239395828	416341	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				 -   
ETUDE ROUTE OUESSO-BANGU-N'DJAMENA ET NA		Actif			AVANT BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport		BAD						UC	811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				 -   
RCA- FACILITATION DU TRANSPORT		Actif			AVANT BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport		BAD						UC	811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				 -   
INTERCONNEXION ELECTRIQUE RCA-RDC PH.1		Actif			AVANT BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Electricité		BAD						UC	811	0	0	0	608668	493477808	858222	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				 -   
Programme de reconstruction économique et sociale en milieu urbain - PRESU I (même financement que AFD?)	Développement urbain et redéploiement de l'action publique dans les 3ème et 5ème arrondissements de Bangui	Actif	29-Sep-14	T03.30	AVANT BRUXELLES	15-Jun		Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	"Eau et Assainissment, Renforcement des capacités"	UE	AFD		Fond Bêkou			EUR	656	4400000	2886210800	5019520	0	0	0	0	0	0	0	0	0	0	0	0	0	0										5019520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				5019520
Programme de reconstruction économique et sociale en milieu urbain - PRESU II (même financement que AFD?)	Développement urbain et redéploiement de l'action publique dans les 3ème et 5ème arrondissements de Bangui	Actif		T03.97	AVANT BRUXELLES	17-Jan		Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	"Eau et Assainissment, Renforcement des capacités"	UE	AFD		Fond Bêkou			EUR	656	11600000	7609101200	13233280	0	0	0	0	0	0	0	0	0	0	0	0	0	0										13233280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				13233280
Appui à la participation des OSC et populations locales et autochtones dans la gouvernance des ressources naturelles et le relèvement socio-économique du Sud-ouest de la RCA	Ce programme d'appui a pour objectif l'appui à la gouvernance des ressources naturelles par des organisations de la société civile et le relèvement socio-économique du Sud-ouest de la RC. L'appui à la mise en place d'un réseau d'OSC locales et de Activités Génératrices de Revenus(AGR) dans ces meme zones permettra d''améliorer la gestion durable des ressources forestières et stimuler le développement au niveau local	Actif	18-Dec-14	T03.34	AVANT BRUXELLES	15-Aug		Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	Forêts	Environnement	UE	WWF		Fond Bêkou		 Don 	EUR	656	374794	245848748	427565	56219	36877312	64135	0	0	0	0	47315	31036540	53977	0	0	0	53977										0	0	213782	0	0	213782	0	0	0	0	0	0	0	0	0	0	0	0				373588
"ECOFAUNE+, ECOSYSTÈMES FAUNISTIQUES DU NORD-EST RCA/TCHAD ET DU SUD-EST DE LA RCA - VOLET NORD"	"Ce programme a pour objectif d'améliorer la gouvernance et la gestion durable des ressources naturelles en RCA dans une perspective de développement durable et de lutte contre la pauvreté: aménagement participatif et durable du territoire, gestion durable des écosystèmes et Développement économique et social des populations locales "	Actif	18-Nov-15	T03.80	AVANT BRUXELLES	16-Jul	18-Jul	Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	Forêts	Environnement	UE	DRC (MCE-ACTED)		Fond Bêkou		 Don 	EUR	656	3834750	2515431106	4374683	2209687	1449459655	2520811	0	0	0	0	1625063	1065971450	1853872	0	0	0	1853872										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				2520811
Fini Bangondo Ti Mai (Nouvelle vision pour le developpement)		Actif	27-Mar-15	T03.88	AVANT BRUXELLES	16-Sep		Assurer le relèvement économique et la relance des secteurs productifs	Assurer les conditions propices au développement du secteur privé et à l’emploi	Développement du secteur privé et emploi	Agriculture	UE	DRC (MCE-ACTED)		Fond Bêkou		 Don 	EUR	656	7467455	4898329379	8518873	3662404	2402379541	4178070	0	0	0	0	3805051	2495949839	4340802	0	0	0	4340802										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				4178070
												France								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				 -   
Financement partiel du projet d'extension de modernisation et de mise aux normes IATA et OACI de l'aéroport international Bangui MPOKO	"L'absence de clôture constituant l'une des principales carence de la plateforme aéroportuaire au niveau de la sureté et de la sécurité, le financement est destiné à la construction de 12 km de clôture en grillage et en béton de l'aéroport"	Actif	16-Jun-14	N° 037/RCA/2014/4-INFRA du 16/06/2014	AVANT BRUXELLES	17-Mar	18-Aug	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport		BDEAC	"AGETIP CAF/ASECNA/EGIS-AVIA, DIVERS COMITES"	"Ministère de l'équipement, des Transports, de l'aviation civile et du désenclavement"	Pas financé par un fonds fiduciaire multi-donateurs	Co-financement AFD	 Don 	XAF	0	3000000000	3000000000	5084746	1599000000	1599000000	2780870	0	0	0	0	1401000000	1401000000	2436522	0	0	0	2436522		Mr OUABY Guy Blaise (Responsable de la cellule de coordination)	gb_ouaby@yahoo.fr/gouaby@gmail.com	Pas ciblé	ND - pas évalué	ND - pas évalué		Pas ciblé	Pas ciblé	5084746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2648224
Financement du Projet de Reconstruction Economique et Sociale en milieu Urbain à Bangui (PRESU): ACQUISITION DES EQUIPEMENT EN FAVEUR DE LA MAIRIE DE BANGUI 	Financement additionnel : fournir des équipements d'assainissement à la mairie de Bangui	Actif	19-Feb-16	N° 164/RCA-16/03-INFRA du 19/02/2016	AVANT BRUXELLES	17-Mar	17-May	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	"Eau et Assainissment, Renforcement des capacités"	BDEAC	AGETIP CAF/UNIT EXPORT LIMITED	"Ministère de l'équipement, des Transports, de l'aviation civile et du désenclavement"	Pas financé par un fonds fiduciaire multi-donateurs		 Don 	XAF	0	750000000	750000000	1271186	641000000	641000000	1114783	0	0	0	0	109000000	109000000	189565	0	0	0	189565		Mr BERTHIOT (Chef de projet AGETIP CAF)	berthiota@yahoo.fr	ND - pas évalué	ND - pas évalué	ND - pas évalué	Principal	ND - pas évalué	Significatif	1271186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1081621
Financement partiel du Projet de Reconstruction Economique et Sociale en milieu Urbain à Bangui (PRESU): Réhabilitation de l'avenue IDRISS DEBY  en béton bitumineux	"Financement additionnel. Les principaux objectifs du projet visent à i) répondre aux problèmes des innondations récurrentes à travers la réalisation des ouvrages de drainages des eaux de ruissellement dans la zone du projet, ii) favoriser la cohésion sociale économique des ménages selon l'approche THIMO, iii) Améliorer la cohésion sociale et l'environnement urbain des quartiers défavorisés de Bangui"	Actif	19-Feb-16	N° 164/RCA-16/03-INFRA du 19/02/2016	AVANT BRUXELLES	17-Jul	18-Dec	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	"Eau et Assainissment, Renforcement des capacités"	BDEAC	AGETIP CAF/Groupement SCET-TUNISIE/LE CRAYON	"Ministère de l'équipement, des Transports, de l'aviation civile et du désenclavement"	Pas financé par un fonds fiduciaire multi-donateurs	Co-financement AFD	 Don 	XAF	0	1500000000	1500000000	2542373	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Mr BERTHIOT (Chef de projet AGETIP CAF)	berthiota@yahoo.fr	Principal	ND - pas évalué	ND - pas évalué	Principal	Significatif	Significatif	2542373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2542373
Etudes de faisabilité pour la construction de la centrale hydroélectrique sur le site de DIMOLI	L'intervention de la Banque consiste à financer entièrement les études de faisabilité et l'assistance au Comité national de suivi du projet en vue de la sélection d'un developpeur privé pour la construction de la centrale électrique sur le site de DIMOLI  	Actif	16-Jun-14		AVANT BRUXELLES	14-Jun	18-Dec	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Electricité		BDEAC					 Don 	XAF	0	1260000000	1260000000	2135593	0	0	0	0	0	0	0	1260000000	1260000000	2191304	0	0	0	2191304										0	0	2135593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				-55711
Projet FIDA agriculture en préparation		En préparation			APRES BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	"Agriculture, élevage, pêche"		FIDA					 Don 	USD	575	15000000	8625000000	15000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				15000000
												PNUD								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				 -   
Projet de Réhabilitation Partielle et Equipement de la chaîne d'abattage de l'Abattoir Frigorifique	"Réhabiliter et équiper partiellement les installations techniques de l’Abattoir Frigorifique de Bangui (AFB) afin de permettre à cette société de renforcer sa capacité, de relancer ses activités, de garantir les emplois aux jeunes bouchers, de produire aux populations de la viande de qualité et faciliter leur accès à des aliments diversifiés."	Actif	8-Feb-17	OSRO/CAF/701/MCA	APRES BRUXELLES	17-Aug		Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	"Agriculture, élevage, pêche"	Secteur privé	Minusca	FAO				 Don 	USD	575	50000	28750000	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0										50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				50000
Renforcement des capacités nationales pour les investigations sur le Syndrome Ulcératif Epizootique  (SUE) de poissons en République Centrafricaine	Identifier la cause de la mortalité des poissons  dans les cours d'eaux du bassin de l'oubangui et proposer des mesures consequentes adaptés à propos	Actif	10-Jun-16	TCP/CAF/3602	AVANT BRUXELLES	17-Sep		Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	"Agriculture, élevage, pêche"		FAO	FAO				 Don 	USD	575	99745	57353375	99745	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				99745
"Appui à la relance de la culture associée Café-Vivriers en République Centrafricaine en période post-conflit"""	Amélior les conditions de vie et de la sécurité alimentaire et nutritionnelle des producteurs de la filière caféière dans le sud Ouest de la RCA.	Actif	22-Nov-16	TCP/CAF/3602	AVANT BRUXELLES	18-Apr		Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	"Agriculture, élevage, pêche"		FAO	FAO				 Don 	USD	575	473000	271975000	473000	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				473000
TCPF-TrypanoEvaluation de la prévalence des mouches Tsé-tsé dans les zones d’élevage de la République Centrafricaine	"Evaluer la prévalence et la distribution des glossines (mouches Tsé-tsé, vecteurs de la Trypanosomose), conformément aux directives et normes en vigueur, afin de collecter des données actualisées pour l’élaboration d’un projet d’appui à la lutte contre les trypanosomoses animales en République Centrafricaine."	En préparation			APRES BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	"Agriculture, élevage, pêche"		FAO	FAO				 Don 	USD	575	47708	27432100	47708	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				47708
TCPF-Projet d’appui à la prospection et cartographie des infestations dues à la chenille légionnaire d’automne en République Centrafricaine		En préparation			APRES BRUXELLES	17-Nov	18-Jan	Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	"Agriculture, élevage, pêche"		FAO	FAO				 Don 	USD	575	50000	28750000	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				50000
Forest and Landscape Restoration supporting Landscape and Livelihoods Resilience in Central African Republic	Formuler un Programme dans le cadre de l'Initiative Restauration (TRI) pour apporter une contribution importante à la restauration des forêts et des paysages dégradés et à l'amélioration des moyens de subsistance en appui au Défi de Bonne. 	Actif		GCP/CAF/001/GFF	AVANT BRUXELLES	16-Jun	17-Jun	Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	Forêts	"Agriculture, élevage, pêche"	GEF	FAO				 Don 	USD	575	165000	94875000	165000	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				165000
Gestion durable de la faune sauvage et de la viande de brousse en Afrique centrale 	"Mettre en place une stratégie viable de gestion communautaire de l’écosystème forestier dans le bassin du Congo; et Renforcer les moyens
d’existence des communautés locales"	Actif		GCP/RAF/455/GFF	AVANT BRUXELLES	10-Sep	17-Aug	Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	Forêts	Environnement	GEF	FAO				 Don 	USD	575	300000	172500000	300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				300000
Projet d'appui à la création d’un centre pilote de formation et d’insertion socio-économique des jeunes affectés par les conflits en République centrafricaine	"Favoriser la réhabilitation des infrastructures de production et de transformation des productions agricoles et d’élevage, la résilience des communautés ciblées et la formation pratique des jeunes et des organisations paysannes/groupements de producteurs, pour leur insertion et participation active à la vie économique et sociale de leurs communautés"	Actif		GCP/CAF/014/ITA	APRES BRUXELLES	17-Aug	19-Aug	Assurer le relèvement économique et la relance des secteurs productifs	Assurer les conditions propices au développement du secteur privé et à l’emploi	Développement du secteur privé et emploi	"Agriculture, élevage, pêche"	Italie	FAO				 Don 	USD	575	2000000	1150000000	2000000	697068	400814100	697068	0	177673	102161714	177673	710690	408646855	710690	414569	238377332	414569	1302932										2000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				697068
